Sektor Ekonomi [Investasi],,,,,
,Realisasi Investasi Penanaman Modal Luar Negeri Triwulanan Menurut Sektor Ekonomi - Jumlah Investasi (Juta US$),,,,
,2022,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"1. Tanaman Pangan, Perkebunan, dan Peternakan",456.2,401.1,503.1,429.1,1789.4
2. Kehutanan,8,23.8,39.9,27.2,98.8
3. Perikanan,1.2,12,6.7,11.8,31.6
4. Pertambangan,1171.1,1258.2,1052.4,1663.3,5145
5. Industri Makanan,685.9,552.7,698.7,487.2,2424.6
6. Industri Tekstil,126.1,109.5,285.1,137.6,658.3
7. Industri Barang dari Kulit dan Alas Kaki,96.8,163.1,241.2,129.4,630.4
8. Industri Kayu,22.6,112,71.9,36.8,243.2
9. Industri Kertas dan Percetakan,156.4,505.1,648.2,320.6,1630.1
10.Industri Kimia dan Farmasi,854,896.5,958.4,1796.6,4505.5
11. Industri Karet dan Plastik,67.2,72.4,119.6,103.6,362.7
12. Industri Mineral Non Logam,101.5,94.1,102.8,238.8,537.3
"13. Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",2577.9,3104.8,2781.9,2496.1,10960.6
"14. Industri Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam",138.8,178.3,211.2,260.4,788.8
15. Industri Kendaraan Bermotor dan Alat Transportasi Lain,542,236,316.5,428.3,1522.8
16. Industri Lainnya,60,90.1,159.6,105.3,415
"17. Listrik, Gas, dan Air",982.5,836.3,1225.8,718.1,3762.7
18. Konstruksi,24.5,31,67.8,42.1,165.3
19. Perdagangan dan Reparasi,184.5,242.8,222.4,87,736.7
20. Hotel dan Restoran,155.3,95.6,111.9,135.2,498
"21. Transportasi, Gudang, dan Telekomunikasi",872.1,881.4,859.2,1512.3,4125.1
"22. Perumahan, Kawasan Industri, dan Perkantoran",516.1,997.4,765.5,735.6,3014.6
23. Jasa Lainnya,458.3,476.1,319.4,304.2,1558.4
JUMLAH,10259,11370.3,11769.1,12206.6,45605