Kabupaten/Kota,Indeks Pembangunan Manusia
Pacitan,70.94
Ponorogo,73.18
Trenggalek,71.96
Tulungagung,74.65
Blitar,72.84
Kediri,74.68
Malang,73
Lumajang,69.37
Jember,70.42
Banyuwangi,73.79
Bondowoso,70.56
Situbondo,70.65
Probolinggo,70.36
Pasuruan,71.91
Sidoarjo,81.88
Mojokerto,76.23
Jombang,75.16
Nganjuk,74.7
Madiun,74.02
Magetan,76.3
Ngawi,73.28
Bojonegoro,71.8
Tuban,71.4
Lamongan,75.29
Gresik,78.44
Bangkalan,66.82
Sampang,66.19
Pamekasan,70.32
Sumenep,69.13
Kota Kediri,80.97
Kota Blitar,80.78
Kota Malang,84
Kota Probolinggo,76.93
Kota Pasuruan,78.3
Kota Mojokerto,80.9
Kota Madiun,83.71
Kota Surabaya,83.99
Kota Batu,79.07
Jawa Timur,74.65
,
Catatan,
Indeks Pembangunan Manusia (IPM) 2020-2023 dihitung menggunakan Umur Harapan Hidup saat Lahir (UHH) hasil Long Form SP2020 (LF SP2020). IPM 2023 yang menggunakan UHH hasil SP2010 masih tersedia dan dapat diakses pada website BPS (www.bps.go.id)/<i>The 2020–2023 Human Development Index (HDI) was calculated using the Life Expectancy at Birth based on the Long Form 2020 Population Census. The 2023 HDI data using life expectancy based on the 2010 Population Census are still available at the BPS website (www.bps.go.id)</i>,